NodeID,Shortened FTPlus name,Full HiP-HOPS name,Description
1,="OFailure1(1)",Auxiliary_Battery:OFailure1,
2,="VFailure1(2)",Auxiliary_Battery:VFailure1,
17,="Value-Brake_Unit1.Add.Brak..(17)",Value-Brake_Unit1.Add.Braking,
21,="OFailure1(21)",Brake_Unit1.EMB:OFailure1,
22,="VFailure1(22)",Brake_Unit1.EMB:VFailure1,
35,="VFailure1(35)",Brake_Unit1.EMB_Power_Converter:VFailure1,
36,="OFailure1(36)",Brake_Unit1.EMB_Power_Converter:OFailure1,
53,="OFailure1(53)",Brake_Unit1.IWM:OFailure1,
54,="VFailure1(54)",Brake_Unit1.IWM:VFailure1,
77,="VFailure1(77)",Brake_Unit1.IWM_Power_Converter:VFailure1,
78,="OFailure1(78)",Brake_Unit1.IWM_Power_Converter:OFailure1,
101,="OFailure1(101)",Brake_Unit1.Wheel_Node_Controller:OFailure1,
102,="OFailure2(102)",Brake_Unit1.Wheel_Node_Controller:OFailure2,
103,="VFailure1(103)",Brake_Unit1.Wheel_Node_Controller:VFailure1,
104,="VFailure2(104)",Brake_Unit1.Wheel_Node_Controller:VFailure2,
108,="AND [Omission-Brake_Unit1..(108)",AND [Omission-Brake_Unit1.Wheel_Node_Controller.Out1],
119,="AND [Omission-Brake_Unit1..(119)",AND [Omission-Brake_Unit1.Wheel_Node_Controller.Out2],
128,="AND [Value-Brake_Unit1.Wh..(128)",AND [Value-Brake_Unit1.Wheel_Node_Controller.Out1],
139,="AND [Value-Brake_Unit1.Wh..(139)",AND [Value-Brake_Unit1.Wheel_Node_Controller.Out2],
168,="Value-Brake_Unit2.Add.Bra..(168)",Value-Brake_Unit2.Add.Braking,
172,="OFailure1(172)",Brake_Unit2.EMB:OFailure1,
173,="VFailure1(173)",Brake_Unit2.EMB:VFailure1,
186,="VFailure1(186)",Brake_Unit2.EMB_Power_Converter:VFailure1,
187,="OFailure1(187)",Brake_Unit2.EMB_Power_Converter:OFailure1,
204,="OFailure1(204)",Brake_Unit2.IWM:OFailure1,
205,="VFailure1(205)",Brake_Unit2.IWM:VFailure1,
228,="VFailure1(228)",Brake_Unit2.IWM_Power_Converter:VFailure1,
229,="OFailure1(229)",Brake_Unit2.IWM_Power_Converter:OFailure1,
252,="OFailure1(252)",Brake_Unit2.Wheel_Node_Controller:OFailure1,
253,="OFailure2(253)",Brake_Unit2.Wheel_Node_Controller:OFailure2,
254,="VFailure1(254)",Brake_Unit2.Wheel_Node_Controller:VFailure1,
255,="VFailure2(255)",Brake_Unit2.Wheel_Node_Controller:VFailure2,
259,="AND [Omission-Brake_Unit2..(259)",AND [Omission-Brake_Unit2.Wheel_Node_Controller.Out1],
270,="AND [Omission-Brake_Unit2..(270)",AND [Omission-Brake_Unit2.Wheel_Node_Controller.Out2],
279,="AND [Value-Brake_Unit2.Wh..(279)",AND [Value-Brake_Unit2.Wheel_Node_Controller.Out1],
290,="AND [Value-Brake_Unit2.Wh..(290)",AND [Value-Brake_Unit2.Wheel_Node_Controller.Out2],
309,="OFailure1(309)",Communication_Bus1:OFailure1,
313,="AND [Omission-Communicati..(313)",AND [Omission-Communication_Bus1.Out1],
325,="AND [Value-Communication_..(325)",AND [Value-Communication_Bus1.Out1],
333,="OFailure1(333)",Communication_Bus2:OFailure1,
337,="AND [Omission-Communicati..(337)",AND [Omission-Communication_Bus2.Out1],
349,="AND [Value-Communication_..(349)",AND [Value-Communication_Bus2.Out1],
357,="OFailure1(357)",Electronic_Pedal:OFailure1,
358,="OFailure2(358)",Electronic_Pedal:OFailure2,
359,="VFailure1(359)",Electronic_Pedal:VFailure1,
360,="VFailure2(360)",Electronic_Pedal:VFailure2,
381,="OFailure1(381)",Mechanical_Pedal:OFailure1,
382,="VFailure1(382)",Mechanical_Pedal:VFailure1,
387,="OFailure1(387)",Powertrain_Battery:OFailure1,
388,="VFailure1(388)",Powertrain_Battery:VFailure1,
872,="No_Braking_Front(872)",No_Braking_Front,
873,="AND(873)",AND,
876,="OR [Omission-Brake_Unit1...(876)",OR [Omission-Brake_Unit1.EMB.Out1],
879,="OR [Omission-Brake_Unit1...(879)",OR [Omission-Brake_Unit1.In1],
881,="OR [Omission-Electronic_P..(881)",OR [Omission-Electronic_Pedal.Out1],
883,="OR [Omission-Electronic_P..(883)",OR [Omission-Electronic_Pedal.Out2],
884,="OR [Omission-Brake_Unit1...(884)",OR [Omission-Brake_Unit1.In2],
888,="OR [Omission-Brake_Unit1...(888)",OR [Omission-Brake_Unit1.IWM.Out1],
893,="OR [Omission-Brake_Unit2...(893)",OR [Omission-Brake_Unit2.EMB.Out1],
896,="OR [Omission-Brake_Unit2...(896)",OR [Omission-Brake_Unit2.In1],
897,="OR [Omission-Brake_Unit2...(897)",OR [Omission-Brake_Unit2.In2],
899,="OR [Omission-Brake_Unit2...(899)",OR [Omission-Brake_Unit2.IWM.Out1],
903,="Value_Braking(903)",Value_Braking,
904,="AND(904)",AND,
914,="OR [Value-Electronic_Peda..(914)",OR [Value-Electronic_Pedal.Out2],
915,="OR [Value-Brake_Unit1.In2](915)",OR [Value-Brake_Unit1.In2],
928,="OR [Value-Brake_Unit2.In2](928)",OR [Value-Brake_Unit2.In2],
